name;url;category;description;pricing;oss
Reply.io;https://reply.io;Lead Gen Tools;AI-powered contact discovery and sequencing.;;
Pika;https://pika.art;Video Gen Tools;Create videos with AI scenes, captions, and voiceovers.;;
Runway;https://runwayml.com;Video Gen Tools;Text-to-video and AI video editing in one tool.;;
Synthesia;https://www.synthesia.io;Video Gen Tools;Generate and edit videos using AI-driven effects and cuts.;;
Colossyan;https://www.colossyan.com;Video Gen Tools;AI video creation with templates, subtitles, and dubbing.;;
Veed.io;https://www.veed.io;Video Gen Tools;Storyboard, generate, and refine videos with AI.;;
Descript;https://www.descript.com;Video Gen Tools;Create videos with AI scenes, captions, and voiceovers.;;
Hour One;https://www.hourone.ai;Video Gen Tools;Text-to-video and AI video editing in one tool.;;
Lumen5;https://www.lumen5.com;Video Gen Tools;Generate and edit videos using AI-driven effects and cuts.;;
HeyGen;https://www.heygen.com;Video Gen Tools;AI video creation with templates, subtitles, and dubbing.;;
InVideo;https://invideo.io;Video Gen Tools;Storyboard, generate, and refine videos with AI.;;
Fireflies.ai;https://fireflies.ai;Note Taking Tools;Transcribe meetings and summarize action items with AI.;;
Otter.ai;https://otter.ai;Note Taking Tools;Real-time transcripts and automated summaries for calls.;;
"tl;dv";https://tldv.io;Note Taking Tools;AI meeting notes with highlights, tasks, and follow-ups.;;
Scribbl;https://www.scribbl.ai;Note Taking Tools;Record, transcribe, and summarize conversations using AI.;;
Notta;https://www.notta.ai;Note Taking Tools;Automated note-taking with speaker labels and key points.;;
Avoma;https://www.avoma.com;Note Taking Tools;Transcribe meetings and summarize action items with AI.;;
Supernormal;https://www.supernormal.com;Note Taking Tools;Real-time transcripts and automated summaries for calls.;;
MeetGeek;https://meetgeek.ai;Note Taking Tools;AI meeting notes with highlights, tasks, and follow-ups.;;
Fathom;https://fathom.video;Note Taking Tools;Record, transcribe, and summarize conversations using AI.;;
Airgram;https://www.airgram.io;Note Taking Tools;Automated note-taking with speaker labels and key points.;;
Cursor;https://www.cursor.so;IDE Tools;AI code completions, refactors, and inline explanations.;;
Replit Ghostwriter;https://replit.com;IDE Tools;Suggests functions, tests, and fixes as you code.;;
Tabnine;https://www.tabnine.com;IDE Tools;AI pair-programmer for refactors and documentation.;;
CodiumAI;https://www.codium.ai;IDE Tools;Autocomplete, debug help, and test generation with AI.;;
Continue;https://continue.dev;IDE Tools;Review diffs and improve code quality using AI.;;
Sourcegraph Cody;https://sourcegraph.com/cody;IDE Tools;AI code completions, refactors, and inline explanations.;;
MutableAI;https://mutable.ai;IDE Tools;Suggests functions, tests, and fixes as you code.;;
Windsurf;https://windsurf.ai;IDE Tools;AI pair-programmer for refactors and documentation.;;
Bolt;https://bolt.new/;IDE Tools;It lets you generate apps instantly using AI, combining code scaffolding and hosting.;;
Lovable;https://lovable.dev/;IDE Tools;Build full-stack apps visually with AI, no-code + generated code.;;
Copycoder;https://copycoder.ai/;IDE Tools;AI-assisted code commenting, refactoring, and documentation.;;
ElevenLabs;https://www.elevenlabs.io;Voice;Clone voices and synthesize speech with AI.;;
Play.ht;https://play.ht;Voice;Generate natural-sounding speech and voiceovers using AI.;;
Murf.ai;https://murf.ai;Voice;AI voice cloning for apps, games, and media.;;
WellSaid Labs;https://www.wellsaidlabs.com;Voice;Text-to-speech with controllable emotion and style.;;
LOVO;https://www.lovo.ai;Voice;Create voices and dubbing tracks powered by AI.;;
Speechify;https://speechify.com;Voice;Clone voices and synthesize speech with AI.;;
Replica Studios;https://replicastudios.com;Voice;Generate natural-sounding speech and voiceovers using AI.;;
Resemble.ai;https://www.resemble.ai;Voice;AI voice cloning for apps, games, and media.;;
ReadSpeaker;https://www.readspeaker.com;Voice;Text-to-speech with controllable emotion and style.;;
Narakeet;https://www.narakeet.com;Voice;Create voices and dubbing tracks powered by AI.;;
Langchain;https://www.langchain.com;Agents;Configurable AI agents to automate complex workflows.;;
AutoGen;https://microsoft.github.io/autogen;Agents;Configurable AI agents to automate complex workflows.;;
CrewAI;https://www.crewai.com;Agents;Autonomous agents for research, tasks, and integrations.;;
MetaGPT;https://github.com/geekan/MetaGPT;Agents;Multi-step AI agents with tools and memory.;;
Superagent;https://superagent.sh;Agents;Orchestrate tool-using AI agents for tasks.;;
GPT Engineer;https://github.com/AntonOsika/gpt-engineer;Agents;Plan-and-act AI agents with feedback loops.;;
OpenAgents;https://github.com/openagent/openagent;Agents;Configurable AI agents to automate complex workflows.;;
Camel;https://github.com/camel-ai/camel;Agents;Autonomous agents for research, tasks, and integrations.;;
Agnai;https://github.com/agnai/agnai;Agents;Multi-step AI agents with tools and memory.;;
AI Town;https://github.com/a16z-infra/ai-town;Agents;Orchestrate tool-using AI agents for tasks.;;
NotFair;https://github.com/nowork-studio/NotFair;Agents;Open-source Claude Code skills for SEO, Google Ads MCP, Meta Ads MCP, Google Search Console MCP, and Google Analytics (GA4) MCP.;Free;yes
Canva Magic Design;https://www.canva.com/magic-design;Design;Create and refine visuals using AI prompts and styles.;;
Uizard;https://uizard.io;Design;Generate images, mockups, and assets with AI.;;
Looka;https://looka.com;Design;AI-assisted design for graphics, layouts, and branding.;;
Khroma;https://www.khroma.co;Design;Prompt-based image creation and style variation with AI.;;
AutoDraw;https://www.autodraw.com;Design;Design assets and illustrations generated by AI.;;
Designs.ai;https://designs.ai;Design;Create and refine visuals using AI prompts and styles.;;
LetSENs Enhance;https://letsenhance.io;Design;Generate images, mockups, and assets with AI.;;
Remove.bg;https://remove.bg;Design;AI-assisted design for graphics, layouts, and branding.;;
Figma AI;https://figma.com;Design;Prompt-based image creation and style variation with AI.;;
Illustroke;https://illustroke.com;Design;Design assets and illustrations generated by AI.;;
Lovart;https://www.lovart.ai/;Design;AI art creation tool, generates illustrations and concept art.;;
MidJourney;https://www.midjourney.com/home;Design;AI platform that generates high-quality images from natural language prompts.;;
Harness;https://harness.io;DevOps;AI assistance for CI/CD, monitoring, and incident response.;;
GitHub Copilot;https://github.com/features/copilot;DevOps;Detect issues and suggest remediations using AI.;;
Ansible Lightspeed;https://www.ansible.com;DevOps;AI copilots for infra changes, rollbacks, and runbooks.;;
Jenkins + AI plugins;https://www.jenkins.io;DevOps;Automate checks and triage alerts with AI.;;
FireHydrant;https://firehydrant.com;DevOps;Explain failures and propose fixes using AI.;;
Sentry + AI;https://sentry.io;DevOps;AI assistance for CI/CD, monitoring, and incident response.;;
DataDog + AI;https://www.datadoghq.com;DevOps;AI assistance for CI/CD, monitoring, and incident response.;;
Botkube;https://www.botkube.io;DevOps;Detect issues and suggest remediations using AI.;;
Relay by Puppet;https://relay.sh;DevOps;AI copilots for infra changes, rollbacks, and runbooks.;;
Rookout;https://www.rookout.com;DevOps;AI copilots for infra changes, rollbacks, and runbooks.;;
ChatGPT;https://chat.openai.com;Personal Assistants;General AI assistant for tasks, research, and reminders.;;
Claude;https://www.anthropic.com/index/claude;Personal Assistants;Conversational help for drafting, planning, and answers.;;
Perplexity;https://www.perplexity.ai;Personal Assistants;Ask questions, summarize, and automate tasks with AI.;;
Pi (Inflection AI);https://heypi.com;Personal Assistants;Personal AI aide for notes, searches, and organization.;;
Rewind;https://www.rewind.ai;Personal Assistants;Chat-based assistant to speed up daily workflows.;;
Quora Poe;https://poe.com;Personal Assistants;General AI assistant for tasks, research, and reminders.;;
Lindy;https://www.lindy.ai;Personal Assistants;Conversational help for drafting, planning, and answers.;;
xAI Grok;https://x.ai;Personal Assistants;Ask questions, summarize, and automate tasks with AI.;;
HyperWrite;https://www.hyperwriteai.com;Personal Assistants;Personal AI aide for notes, searches, and organization.;;
Humata;https://www.humata.ai;Personal Assistants;Chat-based assistant to speed up daily workflows.;;
Tome;https://tome.app;Pitch & Slides;Create slides and pitches with AI-written content and layouts.;;
Beautiful.ai;https://www.beautiful.ai;Pitch & Slides;AI suggests outlines, visuals, and speaker notes for decks.;;
Gamma;https://gamma.app;Pitch & Slides;Generate presentations quickly with templates and AI copy.;;
SlidesAI;https://www.slidesai.io;Pitch & Slides;Turn ideas into slide decks using AI.;;
Decktopus;https://www.decktopus.com;Pitch & Slides;Draft, design, and refine presentations with AI.;;
Storydoc;https://www.storydoc.com;Pitch & Slides;Create slides and pitches with AI-written content and layouts.;;
Sendsteps;https://www.sendsteps.com;Pitch & Slides;AI suggests outlines, visuals, and speaker notes for decks.;;
Simplified;https://simplified.com;Pitch & Slides;Generate presentations quickly with templates and AI copy.;;
Pitch;https://pitch.com;Pitch & Slides;Turn ideas into slide decks using AI.;;
Visme;https://www.visme.co;Pitch & Slides;Draft, design, and refine presentations with AI.;;
Notion AI;https://www.notion.so/product/ai;Productivity;Draft, summarize, and organize work faster using AI.;;
Motion;https://www.usemotion.com;Productivity;Draft, summarize, and organize work faster using AI.;;
ClickUp AI;https://clickup.com;Productivity;AI help for documents, tasks, and communications.;;
Superhuman;https://superhuman.com;Productivity;Automate busywork and writing with AI assistance.;;
Magical;https://www.getmagical.com;Productivity;Summaries, outlines, and task automation powered by AI.;;
Clockwise;https://www.getclockwise.com;Productivity;Accelerate personal workflows with AI tools.;;
Akiflow;https://akiflow.com;Productivity;Draft, summarize, and organize work faster using AI.;;
Mem;https://mem.ai;Productivity;AI help for documents, tasks, and communications.;;
x.ai (legacy);https://x.ai;Productivity;Automate busywork and writing with AI assistance.;;
Todoist + AI;https://todoist.com;Productivity;Summaries, outlines, and task automation powered by AI.;;
Zeni;https://www.zeni.ai;Finance;Forecasts, anomaly detection, and insights powered by AI.;;
Pilot;https://pilot.com;Finance;AI helps reconcile, predict, and explain financials.;;
Bench;https://bench.co;Finance;Detect fraud and produce forecasts using AI.;;
Taktile;https://www.taktile.com;Finance;Generate reports and projections with AI assistance.;;
Indy;https://weareindy.com;Finance;Financial analytics and planning accelerated by AI.;;
Fyle;https://www.fylehq.com;Finance;Forecasts, anomaly detection, and insights powered by AI.;;
Expensify;https://www.expensify.com;Finance;AI helps reconcile, predict, and explain financials.;;
QuickBooks + AI;https://quickbooks.intuit.com;Finance;Detect fraud and produce forecasts using AI.;;
Ramp;https://ramp.com;Finance;Generate reports and projections with AI assistance.;;
Fincent;https://fincent.com;Finance;Financial analytics and planning accelerated by AI.;;
Intercom Fin;https://www.intercom.com;Cust. Support;AI chat and tickets for faster customer support.;;
Tidio;https://www.tidio.com;Cust. Support;Automate replies and triage with AI assistants.;;
Freshchat;https://freshchat.com;Cust. Support;Suggest answers and draft responses using AI.;;
Crisp;https://crisp.chat;Cust. Support;Deflect FAQs and route issues with AI.;;
Drift;https://www.drift.com;Cust. Support;24/7 support automation and insights powered by AI.;;
Zowie;https://getzowie.com;Cust. Support;AI chat and tickets for faster customer support.;;
Ada;https://www.ada.cx;Cust. Support;AI chat and tickets for faster customer support.;;
Help Scout;https://www.helpscout.com;Cust. Support;Automate replies and triage with AI assistants.;;
Forethought;https://forethought.ai;Cust. Support;Suggest answers and draft responses using AI.;;
ChatBot.com;https://www.chatbot.com;Cust. Support;Deflect FAQs and route issues with AI.;;
Spellbook;https://www.spellbook.legal;Legal;Draft clauses and review contracts with AI assistance.;;
DoNotPay;https://donotpay.com;Legal;AI helps analyze contracts and suggest revisions.;;
Harvey;https://www.harvey.ai;Legal;Summarize legal docs and flag risks using AI.;;
LawGeex;https://www.lawgeex.com;Legal;Clause libraries and drafting support with AI.;;
Luminance;https://www.luminance.com;Legal;AI assistance for compliance checks and contracts.;;
Legalsifter;https://www.legalsifter.com;Legal;Draft clauses and review contracts with AI assistance.;;
Casetext (CoCounsel);https://casetext.com;Legal;AI helps analyze contracts and suggest revisions.;;
Ailira;https://www.ailira.com;Legal;Summarize legal docs and flag risks using AI.;;
Loio;https://loio.com;Legal;Clause libraries and drafting support with AI.;;
Juro;https://juro.com;Legal;AI assistance for compliance checks and contracts.;;
